congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
97,House,14601,42,4,AR,100,0,1,"ANTHONY, Beryl Franklin, Jr.",A000213,1938,,-0.254,0.484,-159.58741,0.771,614,68,,-0.214,0.591
97,House,14606,42,2,AR,200,0,1,"BETHUNE, Edwin Ruthvin, Jr.",B000422,1935,,0.304,-0.165,-204.30544,0.724,632,86,,0.27,-0.116
97,House,10553,71,26,CA,200,0,1,"ROUSSELOT, John Harbin",R000469,1927,2003.0,0.601,0.164,-176.41303,0.727,554,80,,0.589,-0.079
97,House,10573,71,36,CA,100,0,1,"BROWN, George Edward, Jr.",B000918,1920,1999.0,-0.506,-0.028,-140.71593,0.785,580,66,,-0.549,0.073
97,House,10577,71,6,CA,100,0,1,"BURTON, Phillip",B001156,1926,1983.0,-0.634,-0.304,-110.7789,0.826,580,40,,-0.613,-0.25
97,House,10579,71,2,CA,200,0,1,"CLAUSEN, Donald Holst",C000475,1923,2015.0,0.16,0.036,-182.11849,0.755,648,78,,0.156,-0.027
97,House,10583,71,10,CA,100,0,1,"EDWARDS, William Donlon (Don)",E000064,1915,2015.0,-0.599,-0.419,-113.1827,0.841,652,37,,-0.566,-0.37
97,House,10595,71,29,CA,100,0,1,"HAWKINS, Augustus Freeman (Gus)",H000367,1907,2007.0,-0.517,-0.369,-201.53138,0.716,603,82,,-0.484,-0.299
97,House,10621,71,25,CA,100,0,1,"ROYBAL, Edward R.",R000485,1916,2005.0,-0.61,-0.141,-133.44472,0.816,657,55,,-0.589,-0.147
97,House,11063,71,12,CA,200,0,1,"McCLOSKEY, Paul Norton , Jr. (Pete)",M000343,1927,,0.028,-0.634,-245.74598,0.544,404,123,,0.171,-0.505
97,House,12001,71,32,CA,100,0,1,"ANDERSON, Glenn Malcolm",A000189,1913,1994.0,-0.269,-0.052,-301.47742,0.634,662,130,,-0.164,0.013
97,House,12037,71,20,CA,200,0,1,"GOLDWATER, Barry Morris, Jr.",G000268,1938,,0.355,-0.025,-119.4458,0.699,334,46,,0.376,-0.134
97,House,13010,71,30,CA,100,1,1,"DANIELSON, George Elmore",D000043,1915,1998.0,-0.477,0.256,-59.49054,0.794,258,25,,-0.432,0.037
97,House,13011,71,8,CA,100,0,1,"DELLUMS, Ronald V.",D000222,1935,2018.0,-0.644,-0.646,-113.32992,0.829,603,46,,-0.711,-0.436
97,House,14007,71,43,CA,200,0,1,"BURGENER, Clair Walter",B001080,1921,2006.0,0.281,0.019,-179.42522,0.72,547,83,,0.363,-0.0
97,House,14040,71,22,CA,200,0,1,"MOORHEAD, Carlos John",M000926,1922,2011.0,0.465,-0.119,-148.74603,0.797,656,55,,0.45,0.086
97,House,14053,71,9,CA,100,0,1,"STARK, Fortney Hillman (Pete), Jr.",S000810,1931,2020.0,-0.631,-0.605,-153.07358,0.773,595,59,,-0.528,-0.344
97,House,14071,71,19,CA,200,0,1,"LAGOMARSINO, Robert John",L000020,1926,2021.0,0.378,-0.267,-173.69048,0.774,678,66,,0.367,-0.051
97,House,14076,71,5,CA,100,0,1,"BURTON, John Lowell",B001153,1932,,-0.413,-0.783,-83.13842,0.757,299,35,,-0.599,-0.393
97,House,14256,71,7,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-142.98125,0.796,628,56,,-0.487,-0.53
97,House,14257,71,13,CA,100,0,1,"MINETA, Norman Y.",M000794,1931,2022.0,-0.479,-0.01,-170.5284,0.775,670,76,,-0.416,0.135
97,House,14266,71,38,CA,100,0,1,"PATTERSON, Jerry Mumford",P000121,1934,,-0.367,0.007,-211.98116,0.717,637,95,,-0.294,-0.132
97,House,14280,71,24,CA,100,0,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-128.16032,0.809,606,45,,-0.445,-0.221
97,House,14403,71,40,CA,200,0,1,"BADHAM, Robert Edward",B000024,1929,2005.0,0.541,0.084,-160.49218,0.755,570,73,,0.502,0.121
97,House,14405,71,23,CA,100,0,1,"BEILENSON, Anthony Charles",B000318,1932,2017.0,-0.44,-0.605,-172.70038,0.75,601,65,,-0.544,-0.298
97,House,14414,71,27,CA,200,0,1,"DORNAN, Robert Kenneth",D000435,1933,,0.49,-0.111,-141.65711,0.748,487,59,,0.402,-0.112
97,House,14444,71,16,CA,100,0,1,"PANETTA, Leon Edward",P000047,1938,,-0.258,-0.186,-203.85213,0.738,671,102,,-0.269,-0.034
97,House,14613,71,15,CA,100,0,1,"COELHO, Tony",C000581,1942,,-0.413,0.344,-147.26745,0.791,629,59,,-0.391,0.363
97,House,14616,71,39,CA,200,0,1,"DANNEMEYER, William Edwin",D000044,1929,2019.0,0.691,-0.24,-190.89347,0.75,665,78,,0.636,-0.198
97,House,14620,71,28,CA,100,0,1,"DIXON, Julian Carey",D000373,1934,2000.0,-0.458,-0.076,-117.51394,0.813,567,52,,-0.515,0.014
97,House,14624,71,4,CA,100,0,1,"FAZIO, Victor Herbert, Jr.",F000053,1942,2022.0,-0.455,0.36,-165.64745,0.777,656,81,,-0.507,0.411
97,House,14630,71,33,CA,200,0,1,"GRISHAM, Wayne Richard",G000480,1923,2011.0,0.395,-0.092,-160.96242,0.737,528,70,,0.439,-0.001
97,House,14644,71,37,CA,200,0,1,"LEWIS, Charles Jeremy (Jerry)",L000274,1934,2021.0,0.348,-0.101,-249.3749,0.675,635,110,,0.374,-0.239
97,House,14647,71,34,CA,200,0,1,"LUNGREN, Daniel Edward",L000517,1946,,0.497,-0.054,-175.14167,0.763,648,72,,0.508,-0.086
97,House,14649,71,3,CA,100,0,1,"MATSUI, Robert T.",M000249,1941,2005.0,-0.404,-0.03,-154.05096,0.792,659,60,,-0.447,0.235
97,House,14652,71,17,CA,200,0,1,"PASHAYAN, Charles, Jr.",P000097,1941,,0.282,-0.232,-214.73037,0.702,606,91,,0.26,0.06
97,House,14660,71,14,CA,200,0,1,"SHUMWAY, Norman David",S000393,1934,2022.0,0.556,0.39,-144.42767,0.802,654,68,,0.575,0.185
97,House,14669,71,18,CA,200,0,1,"THOMAS, William Marshall",T000188,1941,,0.371,-0.277,-176.61336,0.744,597,81,,0.365,0.032
97,House,14805,71,1,CA,200,0,1,"CHAPPIE, Eugene A.",C000322,1920,1992.0,0.414,-0.235,-160.70399,0.766,603,64,,0.35,0.016
97,House,14813,71,35,CA,200,0,1,"DREIER, David Timothy",D000492,1952,,0.478,-0.084,-201.86211,0.729,638,91,,0.643,-0.175
97,House,14816,71,31,CA,100,0,1,"DYMALLY, Mervyn Malcolm",D000592,1926,2012.0,-0.685,-0.039,-114.68237,0.804,525,43,,-0.619,-0.014
97,House,14821,71,21,CA,200,0,1,"FIEDLER, Bobbi",F000102,1937,2019.0,0.343,-0.258,-226.76864,0.707,653,92,,0.248,-0.104
97,House,14835,71,42,CA,200,0,1,"HUNTER, Duncan Lee",H000981,1948,,0.47,0.02,-196.82899,0.741,658,87,,0.332,0.051
97,House,14837,71,11,CA,100,0,1,"LANTOS, Thomas Peter",L000090,1928,2008.0,-0.376,-0.033,-133.66419,0.8,598,59,,-0.345,0.115
97,House,14839,71,41,CA,200,0,1,"LOWERY, William David",L000479,1947,,0.33,-0.254,-173.08089,0.759,628,68,,0.323,-0.146
97,House,14879,71,30,CA,100,2,2,"MARTÍNEZ, Matthew G.",M000206,1929,2011.0,-0.341,0.106,-48.26241,0.802,219,23,,-0.473,0.155
97,House,14051,62,1,CO,100,0,1,"SCHROEDER, Patricia Scott",S000142,1940,,-0.225,-0.974,-351.9028,0.58,646,153,,-0.984,-0.179
97,House,14282,62,2,CO,100,0,1,"WIRTH, Timothy E.",W000647,1939,,-0.293,-0.315,-172.48722,0.761,633,75,,-0.306,-0.302
97,House,14638,62,3,CO,100,0,1,"KOGOVSEK, Raymond Peter",K000304,1941,2017.0,-0.33,0.033,-188.92828,0.749,654,87,,-0.402,0.174
97,House,14639,62,5,CO,200,0,1,"KRAMER, Kenneth Bentley",K000322,1942,,0.43,-0.084,-229.40981,0.705,657,101,,0.365,-0.088
97,House,14803,62,4,CO,200,0,1,"BROWN, George Hanks (Hank)",B000919,1940,,0.511,-0.762,-327.19339,0.617,677,156,,0.578,-0.69
97,House,13009,1,1,CT,100,1,1,"COTTER, William Ross",C000799,1926,1981.0,-0.313,0.103,,,,,,-0.818,-0.575
97,House,13029,1,4,CT,200,0,1,"McKINNEY, Stewart Brett",M000527,1931,1987.0,-0.006,-0.609,-216.59346,0.693,590,95,,0.026,-0.663
97,House,14258,1,6,CT,100,0,1,"MOFFETT, Anthony John, Jr. (Toby)",M000839,1944,,-0.377,-0.756,-84.01861,0.813,407,31,,-0.471,-0.523
97,House,14653,1,5,CT,100,0,1,"RATCHFORD, William Richard",R000067,1934,2011.0,-0.355,-0.267,-148.74597,0.798,658,55,,-0.349,-0.279
97,House,14811,1,3,CT,200,0,1,"DeNARDIS, Lawrence Joseph",D000231,1938,2018.0,0.001,-0.672,-172.73737,0.738,568,65,,-0.002,-0.646
97,House,14825,1,2,CT,100,0,1,"GEJDENSON, Samuel",G000120,1948,,-0.416,-0.486,-276.62892,0.656,655,120,,-0.289,-0.888
97,House,14877,1,1,CT,100,2,2,"KENNELLY, Barbara Bailey",K000118,1936,,-0.346,-0.13,-77.18972,0.82,389,35,,-0.386,-0.039
97,House,14417,11,1,DE,200,0,1,"EVANS, Thomas Beverley, Jr.",E000258,1931,,0.178,-0.384,-178.95111,0.746,610,67,,0.156,-0.366
97,House,633,43,3,FL,100,0,1,"BENNETT, Charles Edward",B000371,1910,2003.0,-0.088,0.421,-309.61533,0.634,679,136,,-0.053,0.302
97,House,3078,43,15,FL,100,0,1,"FASCELL, Dante Bruno",F000041,1917,1998.0,-0.4,0.229,-172.54675,0.743,582,77,,-0.378,0.03
97,House,7333,43,14,FL,100,0,1,"PEPPER, Claude Denson",P000218,1900,1989.0,-0.422,0.357,-114.96343,0.819,577,42,,-0.437,0.371
97,House,10587,43,2,FL,100,0,1,"FUQUA, Don",F000430,1933,,-0.173,0.715,-159.32023,0.764,591,70,,-0.149,0.536
97,House,10588,43,7,FL,100,0,1,"GIBBONS, Sam Melville",G000153,1920,2012.0,-0.233,0.17,-304.39676,0.612,619,136,,-0.111,0.318
97,House,12007,43,4,FL,100,0,1,"CHAPPELL, William Venroe, Jr.",C000321,1922,1989.0,-0.098,0.916,-155.08081,0.746,529,76,,-0.08,0.825
97,House,13047,43,6,FL,200,0,1,"YOUNG, Charles William (Bill)",Y000031,1930,2013.0,0.325,-0.112,-202.86908,0.724,628,78,,0.258,0.055
97,House,14003,43,10,FL,200,0,1,"BAFALIS, Louis Arthur (Skip)",B000029,1929,,0.303,0.078,-105.51387,0.789,445,39,,0.256,0.26
97,House,14029,43,13,FL,100,0,1,"LEHMAN, William",L000226,1913,2005.0,-0.483,-0.001,-123.78507,0.795,540,55,,-0.473,-0.027
97,House,14636,43,1,FL,100,0,1,"HUTTO, Earl Dewitt",H001018,1926,2020.0,-0.007,0.732,-165.12041,0.776,651,75,,-0.081,0.687
97,House,14648,43,11,FL,100,0,1,"MICA, Daniel Andrew",M000688,1944,,-0.184,0.363,-174.38829,0.765,651,77,,-0.156,0.332
97,House,14651,43,9,FL,100,0,1,"NELSON, Clarence William (Bill)",N000032,1942,,-0.193,0.337,-202.29413,0.7336,653,94,,-0.125,0.453
97,House,14842,43,5,FL,200,0,1,"McCOLLUM, Ira William, Jr. (Bill)",M000350,1944,,0.377,-0.101,-187.37655,0.751,653,80,,0.346,-0.169
97,House,14860,43,12,FL,200,0,1,"SHAW, Eugene Clay, Jr.",S000303,1939,2013.0,0.3,-0.142,-186.50606,0.758,672,72,,0.311,-0.084
97,House,94428,43,8,FL,100,0,1,"IRELAND, Andrew Poysell (Andy)",I000029,1930,,0.015,0.377,-176.16018,0.706,507,75,,0.088,0.395
97,House,11005,44,3,GA,100,0,1,"BRINKLEY, Jack Thomas",B000839,1930,2019.0,-0.073,0.701,-226.42735,0.715,674,98,,-0.12,0.509
97,House,14016,44,1,GA,100,0,1,"GINN, Ronald Bryan (Bo)",G000226,1934,2005.0,-0.217,0.849,-109.85971,0.786,457,42,,-0.195,0.726
97,House,14249,44,4,GA,100,0,1,"LEVITAS, Elliott Harris",L000265,1930,,-0.056,0.075,-289.73328,0.64,649,151,,-0.056,0.032
97,House,14252,44,7,GA,100,0,1,"McDONALD, Lawrence Patton",M000413,1935,1983.0,0.884,0.343,-161.14866,0.778,641,62,,0.918,0.231
97,House,14404,44,10,GA,100,0,1,"BARNARD, Druie Douglas, Jr.",B000153,1922,2019.0,-0.028,0.639,-175.82956,0.747,604,85,,-0.025,0.838
97,House,14418,44,8,GA,100,0,1,"EVANS, Billy Lee",E000233,1941,,-0.091,0.501,-230.38139,0.631,500,96,,-0.063,0.64
97,House,14429,44,9,GA,100,0,1,"JENKINS, Edgar Lanier (Ed)",J000083,1933,2012.0,-0.116,0.678,-224.97926,0.697,624,106,,-0.065,0.664
97,House,14467,44,5,GA,100,0,1,"FOWLER, Wyche, Jr.",F000329,1940,,-0.237,0.196,-201.13699,0.714,598,95,,-0.254,0.139
97,House,14627,44,6,GA,200,0,1,"GINGRICH, Newton Leroy",G000225,1943,,0.377,-0.257,-231.25533,0.688,618,106,,0.275,-0.219
97,House,14831,44,2,GA,100,0,1,"HATCHER, Charles Floyd",H000340,1939,,-0.202,0.722,-155.16957,0.769,590,67,,-0.139,0.556
97,House,14400,82,2,HI,100,0,1,"AKAKA, Daniel Kahikina",A000069,1924,2018.0,-0.419,0.273,-144.12777,0.799,643,64,,-0.457,0.569
97,House,14425,82,1,HI,100,0,1,"HEFTEL, Cecil Landau",H000449,1924,2010.0,-0.269,0.243,-189.33681,0.718,571,79,,-0.26,0.246
97,House,10734,63,2,ID,200,0,1,"HANSEN, George Vernon",H000171,1930,2014.0,0.621,0.339,-150.98199,0.794,654,65,,0.627,0.251
97,House,14809,63,1,ID,200,0,1,"CRAIG, Larry Edwin",C000858,1945,,0.494,-0.014,-182.5576,0.75,636,81,,0.524,-0.044
97,House,2525,21,4,IL,200,0,1,"DERWINSKI, Edward Joseph",D000269,1926,2012.0,0.342,-0.361,-280.59246,0.621,589,128,,0.436,-0.577
97,House,6455,21,18,IL,200,0,1,"MICHEL, Robert Henry",M000692,1923,2017.0,0.372,-0.157,-211.59686,0.716,634,96,,0.343,-0.096
97,House,7610,21,23,IL,100,0,1,"PRICE, Charles Melvin",P000522,1905,1988.0,-0.429,0.346,-174.50722,0.763,645,83,,-0.39,0.544
97,House,8080,21,8,IL,100,0,1,"ROSTENKOWSKI, Daniel David",R000458,1928,2010.0,-0.39,0.246,-165.68243,0.767,624,81,,-0.318,0.183
97,House,10421,21,9,IL,100,0,1,"YATES, Sidney Richard",Y000013,1909,2000.0,-0.494,-0.494,-165.83788,0.754,586,73,,-0.434,-0.768
97,House,10517,21,20,IL,200,0,1,"FINDLEY, Paul",F000123,1921,2019.0,0.246,-0.525,-253.01138,0.674,641,119,,0.17,-0.517
97,House,10606,21,13,IL,200,0,1,"McCLORY, Robert",M000340,1908,1988.0,0.256,-0.426,-250.44663,0.669,623,111,,0.266,-0.27
97,House,10703,21,11,IL,100,0,1,"ANNUNZIO, Frank",A000212,1915,2001.0,-0.398,0.351,-147.95251,0.801,666,67,,-0.361,0.396
97,House,10722,21,14,IL,200,0,1,"ERLENBORN, John Neal",E000204,1927,2005.0,0.315,-0.438,-241.5065,0.67,603,111,,0.319,-0.318
97,House,11041,21,19,IL,200,0,1,"RAILSBACK, Thomas Fisher",R000012,1932,2020.0,0.103,-0.446,-180.29018,0.723,557,80,,0.086,-0.439
97,House,12041,21,12,IL,200,0,1,"CRANE, Philip Miller",C000873,1930,2014.0,0.739,0.023,-167.75467,0.762,616,73,,0.763,0.106
97,House,14033,21,21,IL,200,0,1,"MADIGAN, Edward Rell",M000041,1936,1994.0,0.247,-0.396,-217.77712,0.691,590,96,,0.267,-0.328
97,House,14041,21,17,IL,200,0,1,"O'BRIEN, George Miller",O000010,1917,1986.0,0.169,-0.132,-231.49634,0.671,581,111,,0.144,-0.163
97,House,14068,21,7,IL,100,0,1,"COLLINS, Cardiss",C000634,1931,2013.0,-0.552,-0.218,-117.16005,0.829,624,46,,-0.535,-0.37
97,House,14239,21,6,IL,200,0,1,"HYDE, Henry John",H001022,1924,2007.0,0.312,-0.18,-224.26719,0.707,648,101,,0.259,-0.127
97,House,14271,21,3,IL,100,0,1,"RUSSO, Martin Anthony",R000543,1944,,-0.192,-0.209,-284.202,0.638,633,121,,-0.182,-0.375
97,House,14275,21,24,IL,100,0,1,"SIMON, Paul Martin",S000423,1928,2003.0,-0.397,-0.224,-164.39449,0.757,590,75,,-0.481,0.149
97,House,14285,21,5,IL,100,0,1,"FARY, John G.",F000040,1911,1984.0,-0.451,0.47,-144.07121,0.793,622,62,,-0.352,0.403
97,House,14411,21,15,IL,200,0,1,"CORCORAN, Thomas Joseph",C000773,1939,,0.319,-0.247,-180.26991,0.761,660,71,,0.325,-0.128
97,House,14615,21,22,IL,200,0,1,"CRANE, Daniel Bever",C000871,1936,2019.0,0.744,0.048,-175.18364,0.758,633,76,,0.771,0.141
97,House,14677,21,10,IL,200,0,1,"PORTER, John Edward",P000444,1935,2022.0,0.217,-0.604,-230.0755,0.703,653,96,,0.2,-0.498
97,House,14841,21,16,IL,200,0,1,"MARTIN, Lynn Morley",M000195,1939,,0.345,-0.67,-279.31961,0.648,644,135,,0.244,-0.491
97,House,14856,21,2,IL,100,0,1,"SAVAGE, Gus",S000081,1925,2015.0,-0.671,-0.39,-89.90503,0.799,401,40,,-0.641,-0.71
97,House,14866,21,1,IL,100,0,1,"WASHINGTON, Harold",W000180,1922,1987.0,-0.488,-0.873,-125.98848,0.798,559,55,,-0.494,-0.858
97,House,10732,22,9,IN,100,0,1,"HAMILTON, Lee Herbert",H000114,1931,,-0.171,-0.053,-218.58879,0.721,668,108,,-0.119,-0.103
97,House,10742,22,11,IN,100,0,1,"JACOBS, Andrew, Jr.",J000033,1932,2013.0,-0.07,-0.846,-366.97318,0.559,631,200,,-0.097,-0.995
97,House,11036,22,7,IN,200,0,1,"MYERS, John Thomas",M001130,1927,2015.0,0.236,0.254,-215.80826,0.723,666,89,,0.262,0.283
97,House,13018,22,5,IN,200,0,1,"HILLIS, Elwood Haynes",H000624,1926,,0.173,-0.106,-205.02105,0.715,610,95,,0.21,0.166
97,House,14220,22,6,IN,100,0,1,"EVANS, David Walter",E000239,1946,,-0.054,0.003,-274.27926,0.62,573,129,,-0.318,0.1
97,House,14222,22,2,IN,100,0,1,"FITHIAN, Floyd James",F000161,1928,2003.0,-0.165,-0.061,-186.96395,0.706,536,89,,-0.221,-0.131
97,House,14274,22,10,IN,100,0,1,"SHARP, Philip Riley",S000294,1942,,-0.166,-0.283,-232.18108,0.705,665,117,,-0.121,-0.319
97,House,14406,22,1,IN,100,1,1,"BENJAMIN, Adam, Jr.",B000363,1935,1982.0,-0.267,0.136,-155.37693,0.743,524,70,,-0.357,0.197
97,House,14619,22,8,IN,200,0,1,"DECKARD, Huey Joel",D000183,1942,2016.0,0.222,-0.493,-220.96916,0.682,578,96,,0.127,-0.462
97,House,14806,22,4,IN,200,0,1,"COATS, Daniel Ray",C000542,1943,,0.375,-0.227,-212.3858,0.728,670,98,,0.379,-0.434
97,House,14834,22,3,IN,200,0,1,"HILER, John Patrick",H000586,1953,,0.413,-0.35,-194.73204,0.746,665,76,,0.452,-0.396
97,House,14880,22,1,IN,100,2,2,"HALL, Katie Beatrice",H000058,1938,2012.0,-0.529,0.095,-17.95969,0.812,86,7,,-0.479,0.198
97,House,8672,31,4,IA,100,0,1,"SMITH, Neal Edward",S000596,1920,2021.0,-0.313,0.174,-220.02203,0.716,659,105,,-0.259,-0.119
97,House,14205,31,6,IA,100,0,1,"BEDELL, Berkley Warren",B000298,1921,2019.0,-0.24,-0.595,-223.25395,0.695,614,94,,-0.231,-0.573
97,House,14230,31,5,IA,100,0,1,"HARKIN, Thomas Richard (Tom)",H000206,1939,,-0.351,-0.546,-306.31732,0.614,627,143,,-0.988,0.152
97,House,14432,31,1,IA,200,0,1,"LEACH, James Albert Smith",L000169,1942,,0.141,-0.79,-246.93667,0.685,653,113,,0.049,-0.637
97,House,14668,31,2,IA,200,0,1,"TAUKE, Thomas Joseph",T000053,1950,,0.27,-0.775,-305.65128,0.626,653,131,,0.18,-0.651
97,House,14820,31,3,IA,200,0,1,"EVANS, Thomas Cooper",E000259,1924,2005.0,0.247,-0.969,-348.22407,0.592,664,180,,0.275,-0.961
97,House,11057,32,3,KS,200,0,1,"WINN, Edward Lawrence, Jr. (Larry)",W000636,1919,2017.0,0.247,-0.033,-164.97598,0.774,644,64,,0.269,0.115
97,House,14422,32,4,KS,100,0,1,"GLICKMAN, Daniel Robert",G000240,1944,,-0.133,-0.149,-264.98898,0.673,670,122,,-0.137,-0.191
97,House,14637,32,2,KS,200,0,1,"JEFFRIES, James Edmund",J000074,1925,1997.0,0.598,0.091,-144.86153,0.796,635,63,,0.65,0.113
97,House,14670,32,5,KS,200,0,1,"WHITTAKER, Robert Russell",W000426,1939,,0.346,-0.318,-198.54772,0.742,664,89,,0.316,-0.147
97,House,14852,32,1,KS,200,0,1,"ROBERTS, Charles Patrick (Pat)",R000307,1936,,0.413,-0.09,-207.16247,0.7285,654,91,,0.357,-0.079
97,House,6845,51,2,KY,100,0,1,"NATCHER, William Huston",N000009,1909,1994.0,-0.288,0.575,-171.46633,0.777,679,69,,-0.243,0.509
97,House,7343,51,7,KY,100,0,1,"PERKINS, Carl Dewey",P000230,1912,1984.0,-0.343,0.332,-176.08511,0.769,670,82,,-0.358,0.534
97,House,10626,51,4,KY,200,0,1,"SNYDER, Marion Gene",S000669,1928,2007.0,0.26,0.298,-285.18541,0.653,668,125,,0.237,0.106
97,House,13024,51,3,KY,100,0,1,"MAZZOLI, Romano Louis",M000291,1932,2022.0,-0.186,-0.016,-209.6291,0.726,656,99,,-0.155,-0.068
97,House,14237,51,1,KY,100,0,1,"HUBBARD, Carroll, Jr.",H000878,1937,,-0.038,0.476,-273.77583,0.648,631,138,,-0.111,0.767
97,House,14635,51,6,KY,200,0,1,"HOPKINS, Larry Jones",H000776,1933,2021.0,0.347,-0.242,-261.51993,0.674,663,123,,0.256,-0.191
97,House,14854,51,5,KY,200,0,1,"ROGERS, Harold Dallas (Hal)",R000395,1937,,0.338,0.122,-227.49284,0.70696,656,97,,0.204,0.116
97,House,10602,45,8,LA,100,0,1,"LONG, Gillis William",L000417,1923,1985.0,-0.368,0.604,-130.64687,0.811,624,60,,-0.349,0.476
97,House,13056,45,7,LA,100,0,1,"BREAUX, John Berlinger",B000780,1944,,-0.123,0.702,-192.04938,0.711,563,101,,-0.017,0.51
97,House,14067,45,2,LA,100,0,1,"BOGGS, Corinne Claiborne (Lindy)",B000592,1916,2013.0,-0.359,0.501,-145.29563,0.787,606,61,,-0.325,0.433
97,House,14259,45,6,LA,200,0,1,"MOORE, William Henson, III",M000923,1939,,0.24,0.144,-245.82319,0.693,670,123,,0.301,-0.024
97,House,14427,45,5,LA,100,0,1,"HUCKABY, Thomas Jerald",H000901,1941,,-0.009,0.507,-221.77195,0.702,626,108,,0.002,0.423
97,House,14469,45,1,LA,200,0,1,"LIVINGSTON, Robert Linlithgow, Jr.",L000371,1943,,0.326,0.109,-259.26889,0.672,653,111,,0.296,-0.035
97,House,14679,45,3,LA,100,0,1,"TAUZIN, Wilbert Joseph (Billy)",T000058,1943,,0.03,0.568,-224.37658,0.711,657,97,,0.056,0.389
97,House,14853,45,4,LA,100,0,1,"ROEMER, Charles Elson (Buddy), III",R000384,1943,2021.0,0.178,-0.415,-521.8032,0.461,673,235,,0.28,-0.534
97,House,14218,2,1,ME,200,0,1,"EMERY, David Farnham",E000175,1948,,0.155,-0.39,-198.40511,0.717,597,85,,0.156,-0.221
97,House,14661,2,2,ME,200,0,1,"SNOWE, Olympia Jean",S000663,1947,,0.091,-0.548,-224.30432,0.717,674,92,,0.119,-0.406
97,House,10601,52,2,MD,100,0,1,"LONG, Clarence Dickinson",L000413,1908,1994.0,-0.274,0.098,-242.94383,0.681,633,109,,-0.226,-0.085
97,House,13031,52,7,MD,100,0,1,"MITCHELL, Parren James",M000826,1922,2007.0,-0.526,-0.851,-142.74872,0.789,603,64,,-0.981,-0.192
97,House,14021,52,4,MD,200,0,1,"HOLT, Marjorie Sewell",H000747,1920,2018.0,0.368,0.061,-301.29593,0.605,600,123,,0.398,-0.266
97,House,14278,52,5,MD,100,1,1,"SPELLMAN, Gladys Noon",S000716,1918,1988.0,-0.308,-0.216,,,,,,,
97,House,14440,52,3,MD,100,0,1,"MIKULSKI, Barbara Ann",M000702,1936,,-0.37,-0.128,-140.9165,0.802,637,65,,-0.403,-0.264
97,House,14604,52,8,MD,100,0,1,"BARNES, Michael Darr",B000160,1943,,-0.343,-0.513,-243.12215,0.688,650,110,,-0.237,-0.734
