index,Date,Time of Day,Placed,Mental State,Eliminations,Assists,Revives,Accuracy,Hits,Head Shots,Distance Traveled,Materials Gathered,Materials Used,Damage Taken,Damage to Players,Damage to Structures
72,04/15,17:00,20,high,0,3,0,0.16,7,2,498.11,78,0,172,315,2081
73,04/15,17:00,15,high,2,2,1,0.1,13,4,792.0,118,110,313,471,3383
74,04/15,18:00,1,high,4,5,0,0.16,35,3,4460.0,941,350,182,997,5787
75,04/15,18:00,22,high,3,3,1,0.34,78,5,361.31,0,0,329,362,990
76,04/15,22:00,15,sober,3,0,1,0.36,83,13,336.46,175,10,223,1014,2434
77,04/15,23:00,34,sober,2,2,1,0.53,61,3,314.1,60,0,106,658,415
78,04/15,23:00,15,sober,1,1,1,0.45,30,0,1170.0,99,80,151,286,553
79,04/15,23:00,4,sober,5,2,2,0.42,52,0,3550.0,850,450,436,724,1377
80,16-Apr,10:00 PM,24,high,1,1,2,0.64,7,2,249.22,108,0,196,468,1590
81,16-Apr,11:00 PM,17,high,3,2,2,0.33,65,20,752.64,62,60,202,1222,2200
82,17-Apr,12:00 AM,2,high,8,2,0,0.31,97,8,3770.0,1750,400,576,1492,4593
83,17-Apr,12:00 AM,24,high,4,0,0,0.2,12,4,222.54,94,0,96,478,2262
84,17-Apr,01:00 PM,30,sober,1,2,0,0.28,40,4,267.0,78,30,148,375,1196
85,17-Apr,02:00 PM,18,sober,3,2,1,0.26,25,3,954.43,370,60,354,475,1168
86,17-Apr,02:00 PM,39,sober,1,0,0,0.31,12,1,226.67,75,0,120,338,1105
